SampleName	SampleName_inExp	path	Exp	Endedness	Status
WT_0h_Rep1_dlck_Ets1KO_invitro	WT1	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_0h_Ets1KO_invitro
WT_2h_Rep1_dlck_Ets1KO_invitro	WT2	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_2h_Ets1KO_invitro
WT_6h_Rep1_dlck_Ets1KO_invitro	WT3	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_6h_Ets1KO_invitro
WT_12h_Rep1_dlck_Ets1KO_invitro	WT4	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_12h_Ets1KO_invitro
WT_24h_Rep1_dlck_Ets1KO_invitro	WT5	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_24h_Ets1KO_invitro
WT_48h_Rep1_dlck_Ets1KO_invitro	WT6	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	WT_48h_Ets1KO_invitro
KO_0h_Rep1_dlck_Ets1KO_invitro	KO7	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_0h_Ets1KO_invitro
KO_2h_Rep1_dlck_Ets1KO_invitro	KO8	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_2h_Ets1KO_invitro
KO_6h_Rep1_dlck_Ets1KO_invitro	KO9	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_6h_Ets1KO_invitro
KO_12h_Rep1_dlck_Ets1KO_invitro	KO10	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_12h_Ets1KO_invitro
KO_24h_Rep1_dlck_Ets1KO_invitro	KO11	/blue/m.pipkin/stsuda/ATAC_Ets1KO_invitro	Ets1KO_invitro	PE	KO_24h_Ets1KO_invitro
